,submission_date,assignment code,outcome code,outcome year,course_id,semester,course,section,outcome score,outcome rating,college,compliance
13328,2022-04-18,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
17704,2022-05-01,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
20155,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
21601,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
24034,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
24751,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27296,2022-04-30,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27319,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27388,2022-04-20,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
27558,2022-04-29,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27637,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
32311,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
34366,2022-05-04,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34369,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34391,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34400,2022-04-30,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34401,2022-05-01,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34410,2022-04-30,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34671,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34845,2022-04-30,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
38860,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
40463,2022-05-04,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40561,2022-04-30,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
40609,2022-05-01,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
40610,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
40618,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
40629,2022-05-03,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40677,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40683,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40704,2022-05-04,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40747,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
40757,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
40802,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40938,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
41160,2022-05-02,422281,CF2,U1415,SP2022_THEO2100_03,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
2835,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
3078,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
12523,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
12725,2022-04-15,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
12725,2022-04-28,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
14622,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
14717,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
16262,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
17704,2022-04-17,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
17704,2022-04-30,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
18189,2022-04-17,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
18189,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
18405,2022-04-18,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
18405,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
21434,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,-2.0,No Data Collected,College of Theology & Christian Ministry,Outcome attached - no assessment
21459,2022-04-17,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
21459,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
21510,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
